"File","Nested","ContainerJar","Loader","ModIds","DisplayName","Version","Authors","Credits","LicenseDeclared","LicenseNormalized","LicenseCategory","Homepage","IssueTracker","BundledLicenseFiles","Sha1","PackVersion"
"irons_lib-1.21.1-1.1.0.jar","False","","NeoForge","irons_lib, neoforge, minecraft, geckolib, irons_patreon_lib","Iron's Lib","1.21.1-1.1.0","","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","8c275a6292f428fcf10f5bdcbb3df5a88ff0becc","v0.0.1-Alpha"
"irons_spellbooks-1.21.1-3.16.1.jar","False","","NeoForge","irons_spellbooks, neoforge, minecraft, geckolib, playeranimator, curios, irons_lib","Iron's Spells 'n Spellbooks","1.21.1-3.16.1","Iron431, Lab3","Crispytwig: Ring textures, Scroll textures, Arcane Cloth texture
  Crydigo: Ink, Spellbook, Mithril, Hogskin, and Dragonskin textures; Priest Armor and Dead King models
  Hazentouvel: Ice Spider Texture/Model
  Cakeman: Spellbook models
  RenovatedStudios: Various spell icons
  Caner Crebes: Music (Flame Still Burns, King's Lullaby, Whispers of Ice, Tyros Bossfight, Dead King Bossfight) 
  Amo: Spellbook Apotheosis compat
  Some assets remixed from J. W. Bjerk (eleazzaar)'s Painterly Spell Icon Packs -- www.jwbjerk.com/art  -- find this and other open art at: http://opengameart.org.","All Rights Reserved","All Rights Reserved","ARR - check terms","https://www.curseforge.com/minecraft/mc-mods/irons-spells-n-spellbooks","https://github.com/iron431/Irons-Spells-n-Spellbooks/issues","","9e6d200ebab6e4d321864655764870d878174a8f","v0.0.1-Alpha"
"ItemBorders-1.21-neoforge-1.2.5.jar","False","","NeoForge","itemborders, neoforge, minecraft, iceberg, prism, legendarytooltips","Item Borders","1.2.5","Grend","","CC BY-NC-ND 4.0","CC BY-NC","CC (non-commercial)","https://anthonyhilyard.com/","","","b5ae56007c0bbb86b9a05f9f12b522ed485d7884","v0.0.1-Alpha"
"Jade-1.21.1-NeoForge-15.10.5.jar","False","","NeoForge","jade, neoforge","Jade","${file.jarVersion}","Snownee","TehNut, ProfMobius, kalkafox","CC-BY-NC-SA-4.0","CC BY-NC-SA","CC (non-commercial)","https://www.curseforge.com/minecraft/mc-mods/jade","","","d5bf134b3dbde9f5258666823900e21341dc0a50","v0.0.1-Alpha"
"jearchaeology-1.21.0-1.1.5.jar","False","","NeoForge","jearchaeology, neoforge, minecraft, jei, emi","Just Enough Archaeology","1.21.0-1.1.5","LobsterJonn","","All Rights Reserved","All Rights Reserved","ARR - check terms","","","","db6532fc1630450bac0a4d38ce87feb97696b88f","v0.0.1-Alpha"
"jeed-1.21-2.3.2.jar","False","","NeoForge","jeed, neoforge, minecraft","Just Enough Effects Descriptions","1.21-2.3.2","MehVahdJukaar","MehVahdJukaar, Plantkillable","GLP3","GLP3","Custom - review manually","","https://github.com/MehVahdJukaar/JustEnoughEffectDescriptions/issues","","144ffaf459b58db14614a7e1ef3425c2594e30b6","v0.0.1-Alpha"
"jei-1.21.1-neoforge-19.27.0.346.jar","False","","NeoForge","jei, neoforge, minecraft","Just Enough Items","19.27.0.346","mezz","","The MIT License (MIT)","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/jei","https://github.com/mezz/JustEnoughItems/issues?q=is%3Aissue","","c9b7e1b94121fed6617b72456d4cc1ba18c17f11","v0.0.1-Alpha"
"jupiter-2.3.7-1.21.1-neoforge.jar","False","","NeoForge","jupiter, neoforge, minecraft","Jupiter","2.3.7","IAFEnvoy","","LGPL-3.0","LGPL","Weak copyleft","","https://github.com/IAFEnvoy/Jupiter/issues","","569fb484ea5c8e8d690945ad4cd132131a719751","v0.0.1-Alpha"
"justenoughbreeding-neoforge-1.21.1-3.1.0.jar","False","","NeoForge","justenoughbreeding, neoforge, minecraft","Just Enough Breeding","3.1.0","Christofmeg","","The MIT License (MIT)","MIT","Permissive","https://github.com/Christofmeg/JustEnoughBreeding","https://github.com/Christofmeg/JustEnoughBreeding/issues","","e8d4564ea93a3d6c2004e7bf1501b754af377f87","v0.0.1-Alpha"
"JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar","False","","NeoForge","justenoughprofessions, jei, neoforge, minecraft","Just Enough Professions (JEP)","${file.jarVersion}","Mrbysco, ShyNieke","","MIT","MIT","Permissive","https://www.curseforge.com/minecraft/mc-mods/just-enough-professions-jep","https://github.com/Mrbysco/JustEnoughProfessions/issues","LICENSE_JustEnoughProfessions","b97a7420738c2ac020ad15e8f6ac472aad288af2","v0.0.1-Alpha"
